name,photo_file,photo_url,place_id
Kavárna Tvoje Máma,prag_venue_photos/kavárna_tvoje_máma.jpg,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoD02bh797dfbZAkD266MJFqqUBWu1c16wLVuXtle_ni0mNVwI-jFK_jOpuq5jiImeBdcK_8g3L-_psv7fUudBN6d0m1MGGdi32vhsa0tRY1q_fnHBupEv--Sb6JKfu1fBBmUk=s1600-w800,ChIJ06kmMnmTC0cR3EecGnGBuZA
Alma Café,prag_venue_photos/alma_café.jpg,https://lh3.googleusercontent.com/places/ANXAkqEi0cTcX4vRFFVKtvwgZdeYHFPaUzo4spGPr7tjYS1D9716GgeO4dJTY8gljmxKwPqTxYi8Jp47Bdy5YJtYH_kX35NgJ75FxVk=s1600-w800,ChIJyUyE1AGVC0cRYm23uQ301qY
Bistro Karel,prag_venue_photos/bistro_karel.jpg,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqcCTcH1h86--K29Wf-uk3-Z8u-j1XcVT_Q5yDs1NhIEp9ysiwrLk_tctTdXbpfVXSI6hp76wMH5Rj8sD6SwZsFYbsILcfsfNqfXFDSqWAxTOEzfVw9HpAR5gD688oi_xBKaPED=s1600-w800,ChIJMztR11LrC0cReR9Y1W-_s9c
Veltlin,prag_venue_photos/veltlin.jpg,https://lh3.googleusercontent.com/places/ANXAkqF1N2lOlFbimHwNNHGBWNAtk2tV28m5pv0pvDadHR8gtFIkH7tswQRF9dNHOa3Q_9waVvEEYl35W4IHcr9a1RobAuMUKGhpCzY=s1600-w800,ChIJkcPmkKaUC0cRG2iBlyYDztA
Na Břehu Rhony,prag_venue_photos/na_břehu_rhony.jpg,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer9D75N7aazVexefrjxIU-h0yXrxVy8WhzaV8iG02SQm-7fDpHhrsvikREDZ6rRBAQ0DNBW9t3GKRNSCRTomKfCsbzzXau2XCm0wmr3XznVQs7kgiP-LG0ymoDSvpSksg_m7YlX=s1600-w800,ChIJP_U14V6UC0cRWXBmuPya-6k
Noelka Wine Bar,prag_venue_photos/noelka_wine_bar.jpg,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqJDmlV8LtwzaYYdhZ9uWuJEmVfl43XMN5Fkh_1E5YC21AFi7_Kn4dHsl_NxwGKlRU2KoqpJBnoz5cWhVdX4LdW_iuVxJ-J9XOnQ-tRRwdeuLDq36V9Pc_etr4okGbXuj9gKjG7jc1Oh7w4=s1600-w800,ChIJ4_Hxo5yUC0cRRZ1PJY1onvM
Koštovna u Počtů,prag_venue_photos/koštovna_u_počtů.jpg,https://lh3.googleusercontent.com/places/ANXAkqGRxv8RmVt1k6FSJTdchQHuY5CMmvBY9Al4PtaGUoHPwNcGmxWp_Sk-x48Ke_D64A2QMz3KW0gfj_1Uv2RApkcVbPJPzTptgbk=s1600-w800,ChIJd-nDvcWUC0cRHk_CZNYMnds
Šenkovna Fine Wine Pub,prag_venue_photos/šenkovna_fine_wine_pub.jpg,https://lh3.googleusercontent.com/places/ANXAkqHvX6gdbyGvrD5VRKrqlWt45vjoFXNHjlefJ0JNSeJk9Hit2YJgQVHd9qWnwxkPO_IoJglqhSHDm2rDS245SWEbWAdogN1iZDo=s1600-w800,ChIJD-euQ4yUC0cRHOItFLyp2Gw
Přátelé Wine Friends,prag_venue_photos/přátelé_wine_friends.jpg,https://lh3.googleusercontent.com/places/ANXAkqGrmoehfyttXXcZ88OAojzOWeyg4Kg9C5ZS4v0oY6t7j026qPUC5cPsZeISrQRYakh9VcBeu_rN8HpLb9sVx27PW6xP4B0xWIM=s1600-w800,ChIJr6dN0Y6UC0cRjCanx8kcu0c
Vinárna U Sudu,prag_venue_photos/vinárna_u_sudu.jpg,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepD90lCjb43DtSfH5UyQc-Cr4JnridcK_kySZvqx6Fkx8ah0DuJ-byes2gtKSDOY-WbiMB7edZwkA5sogn8bNPaIJI-uMfK1iPxifuZl6mr2iK1YqTDTaMIUXsW_D31I7P4JPw=s1600-w800,ChIJB2XzV_KUC0cR2XDxkOqS2IE
U Glaubiců,prag_venue_photos/u_glaubiců.jpg,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq-mHH7cRPY8kM3jgS7YiFZSuUBqri7VAl2HJgYLCSfsHGBYgjbCjHff7gbQ9kLrOjTeAeBE40VHzH0mCU6NXgY0syZUiClbE_2-1Ze5Uxw1Vob6tSe_4l_kvso3uf-KI1he39OxQ=s1600-w800,ChIJXXFEO-KUC0cRXxm7CSQYrzM
Krcma,prag_venue_photos/krcma.jpg,https://lh3.googleusercontent.com/gps-cs-s/AHVAweodVZCQssyGZN4oT3CKzM9YKU9fACrXJVJsuMCmlBavgrlxYwAtSZf0M503rhEBD-N0qnEeJ5H_n98v6Wcn26Bmlu7VjHeycVbDgUWNntl4EBAfQA2nllTRtvdN2CyyDWunLT7kdTKwh1wV=s1600-w800,ChIJpUHzqumUC0cRE2Gm7-vGt4Q
Malostranská Beseda,prag_venue_photos/malostranská_beseda.jpg,https://lh3.googleusercontent.com/places/ANXAkqGMnCQOmjknwAkbH2P7bXv4QA7hFJcPrQeOGxHSnpXdkZDZYxHOi3ENXM1FhOC3cyMjST-S4TCJyNc4cAN7RDt0WqMMFx0oYY4=s1600-w800,ChIJkWuzgOGUC0cRnryHOB3_f3M
Pork's,prag_venue_photos/porks.jpg,https://lh3.googleusercontent.com/places/ANXAkqEng4qUTO7CO7uT-Ny1J5IwKmJH3wCFGXyZ5o23S9V62wOaGootLCHW_ENyIMZawIVyfhJ2fpPwDqUOI9R2RPaNnSwUFiAfRj4=s1600-w800,ChIJoV6PlgGVC0cR9H6ZwQWrJJQ
Výčep,prag_venue_photos/výčep.jpg,https://lh3.googleusercontent.com/places/ANXAkqFcy92yTlE335ttuMuy4m6B_GRH5fiJ8E3Uli1csu2mHRMGHOyTJ32PbEU4w3o8uM-mM83OXUT1GYme12aLhBTMcU8EpukaFQ=s1600-w800,ChIJKyH5iTGTC0cRCpMY5gut7n0
Tiskárna Národní,prag_venue_photos/tiskárna_národní.jpg,https://lh3.googleusercontent.com/places/ANXAkqEZ2Htn1mJjAxr3HCqs_BdPxmFgzL7Z1kPKL1z0gRSekM2itiSTqChagJ7h1bqu_TXiFH82TnSqviIsHLVYddy_azuypS8BKA=s1600-w800,ChIJ4UTi2e2UC0cRAYBdr-IIadg
Pivní Přístav,prag_venue_photos/pivní_přístav.jpg,https://lh3.googleusercontent.com/places/ANXAkqHgO5d9yImMmwZwxt0XP3BFl4gHMHNXSJZ652nhO-NRaG5vEUN74P00VyOyBMRgMzqXMBC8nP2kpTIdIBNpFWG3ULRK4vUp5XY=s1600-w800,ChIJtQrjYPaUC0cRQ-7qpl8yDOg
El Camino Tapas,prag_venue_photos/el_camino_tapas.jpg,https://lh3.googleusercontent.com/places/ANXAkqG6oCN2I3nKwMoD6qKL0A8Wih_4QiQlBK6G3qHuydNsPx_Ct5KXKOz-dX9-8_ruUd2Gyd81oVSQeUsWUEaesxGhT7Vu4pMvViM=s1600-w800,ChIJo8uTYo-VC0cRXJFgzt-rASQ
Porke Tapas,prag_venue_photos/porke_tapas.jpg,https://lh3.googleusercontent.com/places/ANXAkqGSMiKIzhrlsNdcwqAJ2moLxcq-cV58L8sb8WE7myYLEARu2usSNnEtKzyaTjWfRVLHWv-pIfZxzemfJpjhnYbmXwX8hUiyqQM=s1600-w800,ChIJ1Q2GLiaVC0cRDSnhztWB62g
